title,DOI,abstract,ablation
['Laser ablation-based methods for nanostructuring of materials'],10.1134/s1054660x09050430,,
['Surface plasmon resonance interferometer for bio- and chemical-sensors'],10.1016/s0030-4018(97)00726-8,,
['Laser-induced treatment of silicon in air and formation of Si/SiOx photoluminescent nanostructured layers'],10.1016/s0921-5107(02)00651-7,,
['Fabrication of photoluminescent Si-based layers by air optical breakdown near the silicon surface'],10.1016/s0169-4332(01)00690-0,,
['Laser ablation-based synthesis of functionalized colloidal nanomaterials in biocompatible solutions'],10.1016/j.jphotochem.2006.06.008,,
['Laser ablation-based nanofabrication in aqueous solutions'],10.1557/proc-850-mm5.5,<jats:title>ABSTRACT</jats:title><jats:p>An overview of research results related to the femtosecond laser ablation-based method for nanofabri-cation in aqueous solutions is presented. The method makes possible the production of stable biofunctionalized gold nanoparticle colloids with extremely small size (down to 2–2.5 nm) and size dispersion (down to 1–1.5 nm). The colloids are of importance for biosensing applications.</jats:p>,
['Photon crystal waveguide-based surface plasmon resonance biosensor'],10.1063/1.2360186,"<jats:p>The concept of a photonic crystal waveguide-based surface plasmon resonance sensor is proposed, in which plasmons on a surface of a thin metal film are excited by a Gaussian-like leaky mode of an effectively single mode photonic crystal waveguide. The authors demonstrate that effective refractive index of a waveguide core mode can be designed to be considerably smaller than that of a core material, enabling efficient phase matching with plasmons at any wavelength of choice, while retaining highly sensitive response to changes in the refractive index of an analyte layer. This is attractive for the development of portable surface plasmon resonance biochemical sensors.</jats:p>",
['Femtosecond laser ablation in aqueous solutions: a novel method to synthesize non-toxic metal colloids with controllable size'],10.1088/1742-6596/59/1/074,,
['Visible photoluminescence from nanostructured Si-based layers produced by air optical breakdown on silicon'],10.1063/1.1557752,"<jats:p>Pulsed radiation of CO2 laser has been used to produce an optical breakdown on a silicon target in atmospheric air. After several breakdown initiations near the threshold of plasma production, a highly porous layer was formed under the radiation spot on the silicon surface. The fabricated layers presented the porosity of 75%–80% and were formed of silicon nanocrystals imbedded in SiO2 matrix. They exhibited strong photoluminescence (PL) around 2.0 eV, which was stable to a prolonged continuous illumination of samples. Possible mechanisms of nanostructure formation and PL origin are discussed.</jats:p>",
['Plasmon excitation by the Gaussian-like core mode of a photonic crystal waveguide'],10.1364/oe.14.008419,,
['Synthesis of colloidal nanoparticles during femtosecond laser ablation of gold in water'],10.1063/1.1626793,"<jats:p>Femtosecond laser radiation has been used to ablate a gold target in pure deionized water to produce colloidal gold nanoparticles. We report evidence for two different mechanisms of material ablation in the liquid environment, whose relative contributions determine the size distribution of the produced particles. The first mechanism, associated with thermal-free femtosecond ablation, manifests itself at relatively low laser fluences F&amp;lt;400 J/cm2 and leads to very small (3–10 nm) and almost monodispersed gold colloids. The second one, attributed to the plasma-induced heating and ablation of the target, takes place at high fluences and gives rise to a much larger particle size and broad size distribution. The fabricated nanoparticles exhibit plasmon-related optical absorption peak and are of significance for biosensing applications.</jats:p>",
"['Spectral, amplitude and phase sensitivity of a plasmonic gas sensor in a metallic photonic crystal slab geometry: Comparison of the near and far field phase detection strategies']",10.1016/j.snb.2009.09.036,,
['What Theranostic Applications Could Ultrapure Laser-Synthesized Si Nanoparticles have in Cancer?'],10.2217/nnm-2016-0228,,
