publisher,license,is_referenced_by_count,link,authors,abstract,title,doi,type,journal,issn,volume,issue,start_page,end_page,publication_date,references,ablation
SPIE,,0,,"[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}]",,Femtosecond laser-ablative synthesis of functional nanomaterials for biological imaging and therapy,10.1117/12.2586199,proceedings-article,Synthesis and Photonics of Nanoscale Materials XVIII,,,,14,,2021-03-05,,True
Pleiades Publishing Ltd,"[{'start': {'date-parts': [[2009, 5, 1]], 'date-time': '2009-05-01T00:00:00Z', 'timestamp': 1241136000000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'http://www.springer.com/tdm'}]",17,"[{'URL': 'http://link.springer.com/content/pdf/10.1134/S1054660X09050430.pdf', 'content-type': 'application/pdf', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'http://link.springer.com/article/10.1134/S1054660X09050430/fulltext.html', 'content-type': 'text/html', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'http://link.springer.com/content/pdf/10.1134/S1054660X09050430', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Kabashin', 'firstname': 'A. V.', 'affiliation': None}]",,Laser ablation-based methods for nanostructuring of materials,10.1134/s1054660x09050430,journal-article,Laser Physics,1555-6611,19,5,1136,1141,2009-05-01,"['10.1146/annurev.ms.19.080189.002351', '10.1126/science.256.5062.1425', '10.1063/1.103561', '10.1063/1.103561', '10.1103/PhysRevB.48.4883', '10.1063/1.116098', '10.1063/1.116870', '10.1063/1.109087', '10.1016/S0169-4332(00)00780-7', '10.1063/1.1446217', '10.1021/jp001336y', '10.1016/S0927-7757(01)00854-8', '10.1016/S0169-4332(02)00936-4', '10.1016/S0169-4332(01)00634-1', '10.1063/1.1626793', '10.1007/s00339-004-3081-4', '10.1021/jp034345q', '10.1021/ja048678s', '10.1021/jp047134+', '10.1063/1.123838', '10.1063/1.353032', '10.1063/1.1557752', '10.1007/s00339-008-4484-4', '10.1063/1.2809606', '10.1103/PhysRevLett.75.1739', '10.1063/1.122853']",False
SPIE,,0,,"[{'lastname': 'Kabashin', 'firstname': 'A. V.', 'affiliation': None}]",,Patterning of photoluminescent nanostructured spots on silicon by air optical breakdown processing,10.1117/12.2283875,proceedings-article,"Opto-Canada: SPIE Regional Meeting on Optoelectronics, Photonics, and Imaging",,,,78,,2017-08-29,,False
OSA,,2,"[{'URL': 'https://www.osapublishing.org/viewmedia.cfm?URI=OFS-2006-ThE62&seq=0', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Skorobogatiy', 'firstname': 'Maksim', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrey', 'affiliation': None}]",,Plasmon Excitation by the Gaussian-like Core Mode of a Photonic Crystal Waveguide or a Fiber,10.1364/ofs.2006.the62,proceedings-article,Optical Fiber Sensors,,,,ThE62,,2006-01-01,,False
Elsevier BV,"[{'start': {'date-parts': [[1998, 5, 1]], 'date-time': '1998-05-01T00:00:00Z', 'timestamp': 893980800000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.elsevier.com/tdm/userlicense/1.0/'}]",160,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0030401897007268?httpAccept=text/xml', 'content-type': 'text/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0030401897007268?httpAccept=text/plain', 'content-type': 'text/plain', 'content-version': 'vor', 'intended-application': 'text-mining'}]","[{'lastname': 'Kabashin', 'firstname': 'A.V', 'affiliation': None}, {'lastname': 'Nikitin', 'firstname': 'P.I', 'affiliation': None}]",,Surface plasmon resonance interferometer for bio- and chemical-sensors,10.1016/s0030-4018(97)00726-8,journal-article,Optics Communications,0030-4018,150,1-6,5,8,1998-05-01,"['10.1016/B978-0-444-86165-8.50006-2', '10.1016/0250-6874(83)85036-7', '10.1051/jphyslet:019770038010500', '10.1007/BF01395428', '10.1364/AO.33.007501', '10.1038/332615a0']",False
Elsevier,,6,,"[{'lastname': 'Kabashin', 'firstname': 'A.V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M.', 'affiliation': None}]",,Laser Ablation-Based Synthesis of Nanomaterials,10.1016/b978-008044727-8/50002-x,book-chapter,Recent Advances in Laser Processing of Materials,,,,1,36,2006-01-01,"['10.1146/annurev.ms.19.080189.002351', '10.1126/science.256.5062.1425', '10.1063/1.103561', '10.1063/1.102921', '10.1063/1.122241', '10.1063/1.1504868', '10.1063/1.1667004', '10.1063/1.123838', '10.1063/1.1324732', '10.1063/1.1324732', '10.1063/1.1480106', '10.1016/S0169-4332(01)00675-4', '10.1016/S0169-4332(02)00450-6', '10.1016/j.tsf.2004.04.043', '10.1016/S0169-4332(01)00690-0', '10.1063/1.1557752', '10.1016/S0921-5107(02)00651-7', '10.1063/1.1702102', '10.1007/BF03296063', '10.1016/0169-4332(95)00429-7', '10.1143/JJAP.36.L563', '10.1063/1.121892', '10.1063/1.121516', '10.1007/s003399900302', '10.1063/1.1426250', '10.1063/1.353032', '10.1070/QE2001v031n05ABEH001958', '10.1007/s003400050617', '10.1103/PhysRevB.49.3622', '10.1103/PhysRevB.48.4883', '10.1063/1.116098', '10.1063/1.116870', '10.1063/1.109087', '10.1016/S0009-2614(99)00642-9', '10.1016/S0009-2614(00)00956-8', '10.1007/s003390050027', '10.1063/1.125696', '10.1063/1.111766', '10.1016/0040-6090(94)05612-H', '10.1143/JJAP.35.1361', '10.1143/JJAP.35.4780', '10.1016/S0169-4332(97)00661-2', '10.1063/1.368971', '10.1063/1.372421', '10.1016/S0169-4332(99)00450-X', '10.1063/1.126041', '10.1016/S0169-4332(00)00780-7', '10.1116/1.1420494', '10.1063/1.1446217', '10.1016/S0169-4332(02)00437-3', '10.1063/1.1569033', '10.1016/j.optmat.2004.08.050', '10.1021/jp9824555', '10.1016/S0040-6090(02)00732-0', '10.1063/1.1621457', '10.1016/j.tsf.2003.11.136', '10.1103/PhysRevB.71.033406', '10.1103/PhysRev.95.359', '10.1063/1.367373', '10.1016/S0009-2614(02)00671-1', '10.1038/35015043', '10.1126/science.281.5385.2013', '10.1021/ja991662v', '10.1126/science.277.5329.1078', '10.1126/science.281.5385.2016', '10.1002/bbpc.19840881010', '10.1038/338596a0', '10.1021/ja00072a025', '10.1016/0021-9797(92)90019-I', '10.1021/nl0347334', '10.1002/1438-5171(200112)2:4<261::AID-SIMO261>3.0.CO;2-P', '10.1002/bbpc.19930971112', '10.1021/j100123a004', '10.1366/0003702934066460', '10.1016/S0022-2860(96)09467-7', '10.1002/jccs.199800109', '10.1021/la9707540', '10.1088/0953-8984/10/35/024', '10.1007/s003390000590', '10.1021/jp984163+', '10.1039/a905178c', '10.1039/b004936k', '10.1006/jcat.2000.2992', '10.1016/S0022-3697(01)00098-1', '10.1021/jp001803b', '10.1021/jp001336y', '10.1021/jp0037091', '10.1021/jp0111620', '10.1016/S0008-6223(00)00179-2', '10.1016/j.apsusc.2004.02.013', '10.1143/JJAP.35.L781', '10.1016/S0169-4332(02)00936-4', '10.1021/jp020577y', '10.1021/jp020786i', '10.1021/ja021250d', '10.1021/jp030173l', '10.1016/S0927-7757(01)00854-8', '10.1007/s00340-002-1087-1', '10.1016/j.tsf.2004.04.043', '10.1016/S0009-2614(01)01136-8', '10.1016/S0169-4332(01)00634-1', '10.1016/S0009-2614(02)01534-8', '10.1016/S0169-4332(02)01230-8', '10.1063/1.1626793', '10.1007/s00339-004-3081-4', '10.1016/j.cplett.2003.10.004', '10.1016/S0169-4332(02)00430-0', '10.1039/b109490d', '10.1063/1.1628830', '10.1021/jp034345q', '10.1021/ja048678s', '10.1021/jp047134+']",True
Elsevier BV,"[{'start': {'date-parts': [[2003, 8, 1]], 'date-time': '2003-08-01T00:00:00Z', 'timestamp': 1059696000000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.elsevier.com/tdm/userlicense/1.0/'}]",49,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0921510702006517?httpAccept=text/xml', 'content-type': 'text/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0921510702006517?httpAccept=text/plain', 'content-type': 'text/plain', 'content-version': 'vor', 'intended-application': 'text-mining'}]","[{'lastname': 'Kabashin', 'firstname': 'A.V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M.', 'affiliation': None}]",,Laser-induced treatment of silicon in air and formation of Si/SiOx photoluminescent nanostructured layers,10.1016/s0921-5107(02)00651-7,journal-article,Materials Science and Engineering: B,0921-5107,101,1-3,60,64,2003-08-01,"['10.1063/1.103561', '10.1063/1.102921', '10.1103/PhysRevB.48.4883', '10.1016/0040-6090(94)05612-H', '10.1143/JJAP.35.1361', '10.1116/1.1420494', '10.1063/1.1446217', '10.1063/1.108331', '10.1016/0022-2313(93)90097-7', '10.1063/1.110792', '10.1088/0268-1242/12/8/009', '10.1063/1.111572', '10.1016/S0038-1098(00)00463-4', '10.1016/S0169-4332(01)00690-0', '10.1063/1.353032', '10.1063/1.88808', '10.1070/QE1997v027n06ABEH000974', '10.1063/1.121711', '10.1063/1.346318']",False
IEEE,,0,"[{'URL': 'http://xplorestaging.ieee.org/ielx5/4452319/4452320/04452905.pdf?arnumber=4452905', 'content-type': 'unspecified', 'content-version': 'vor', 'intended-application': 'similarity-checking'}]","[{'lastname': 'Skorobogatiy', 'firstname': 'M.', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'A.V.', 'affiliation': None}]",,Photon Crystal Waveguide-based Surface Plasmon Resonance Biosensor,10.1109/cleo.2007.4452905,proceedings-article,2007 Conference on Lasers and Electro-Optics (CLEO),,,,1,2,2007-05-01,"['10.1016/0925-4005(95)01692-9', '10.1063/1.125493']",False
Elsevier BV,"[{'start': {'date-parts': [[2002, 1, 1]], 'date-time': '2002-01-01T00:00:00Z', 'timestamp': 1009843200000}, 'content-version': 'tdm', 'delay-in-days': 0, 'URL': 'https://www.elsevier.com/tdm/userlicense/1.0/'}]",22,"[{'URL': 'https://api.elsevier.com/content/article/PII:S0169433201006900?httpAccept=text/xml', 'content-type': 'text/xml', 'content-version': 'vor', 'intended-application': 'text-mining'}, {'URL': 'https://api.elsevier.com/content/article/PII:S0169433201006900?httpAccept=text/plain', 'content-type': 'text/plain', 'content-version': 'vor', 'intended-application': 'text-mining'}]","[{'lastname': 'Kabashin', 'firstname': 'A.V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M.', 'affiliation': None}]",,Fabrication of photoluminescent Si-based layers by air optical breakdown near the silicon surface,10.1016/s0169-4332(01)00690-0,journal-article,Applied Surface Science,0169-4332,186,1-4,578,582,2002-01-01,"['10.1063/1.103561', '10.1063/1.108331', '10.1016/0022-2313(93)90097-7', '10.1063/1.110792', '10.1088/0268-1242/12/8/009', '10.1063/1.88808', '10.1016/0040-6090(94)05612-H', '10.1070/QE1997v027n06ABEH000974', '10.1063/1.121711', '10.1063/1.346719', '10.2109/jcersj.99.923']",False
SPIE,,0,,"[{'lastname': 'Kabashin', 'firstname': 'Andrei V.', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'affiliation': None}]",,Air optical breakdown on silicon as a novel method to fabricate photoluminescent Si-based nanostructures,10.1117/12.459737,proceedings-article,SPIE Proceedings,0277-786X,4636,,59,66,2002-03-20,,False
