abstract,authors,ISSN,journal,volume,issue,start_page,end_page,doi,pmid,pmcid,publication_date,references,title,keywords,type
"due to the absence of labels and fast analyses, optical biosensors promise major advances in biomedical diagnostics, security, environmental, and food safety applications. however, the sensitivity of the most advanced plasmonic biosensor implementations has a fundamental limitation caused by losses in the system and/or geometry of biochips. here, we report a ""scissor effect"" in topologically dark metamaterials which is capable of providing ultrahigh-amplitude sensitivity to biosensing events, thus solving the bottleneck sensitivity limitation problem. we explain how the ""scissor effect"" can be realized via the proper design of topologically dark metamaterials and describe strategies for their fabrication. to validate the applicability of this effect in biosensing, we demonstrate the detection of folic acid (vitamin important for human health) in a wide 3-log linear dynamic range with a limit of detection of 0.22 nm, which is orders of magnitude better than those previously reported for all optical counterparts. our work provides possibilities for designing and realizing plasmonic, semiconductor, and dielectric metamaterials with ultrasensitivity to binding events.","[{'lastname': 'Tselikov', 'firstname': 'Gleb I', 'initials': 'GI', 'affiliation': 'Aix Marseille University, CNRS, UMR 7341 CNRS, LP3, Campus de Luminy-case 917, 13288 Marseille Cedex 9, France.'}, {'lastname': 'Danilov', 'firstname': 'Artem', 'initials': 'A', 'affiliation': 'Aix Marseille University, CNRS, UMR 7341 CNRS, LP3, Campus de Luminy-case 917, 13288 Marseille Cedex 9, France.'}, {'lastname': 'Shipunova', 'firstname': 'Victoria O', 'initials': 'VO', 'affiliation': 'Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, 16/10 Miklukho-Maklaya St, Moscow 117997, Russia.'}, {'lastname': 'Deyev', 'firstname': 'Sergey M', 'initials': 'SM', 'affiliation': 'Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, 16/10 Miklukho-Maklaya St, Moscow 117997, Russia.\nMEPhI, Institute of Engineering Physics for Biomedicine (PhysBio), 115409 Moscow, Russia.'}, {'lastname': 'Kabashin', 'firstname': 'Andrei V', 'initials': 'AV', 'affiliation': 'Aix Marseille University, CNRS, UMR 7341 CNRS, LP3, Campus de Luminy-case 917, 13288 Marseille Cedex 9, France.'}, {'lastname': 'Grigorenko', 'firstname': 'Alexander N', 'initials': 'AN', 'affiliation': 'Department of Physics and Astronomy, University of Manchester, Manchester M13 9PL, U.K.'}]",1936-086X,ACS nano,17,19,19338,19348,10.1021/acsnano.3c06655,37738093,PMC10569102,2023-09-22,"[{'doi': '', 'pmid': '', 'pmcid': ''}, {'doi': '10.1016/0956-5663(95)96965-2', 'pmid': '7576432', 'pmcid': ''}, {'doi': '10.1021/cr068107d', 'pmid': '18229953', 'pmcid': ''}, {'doi': '10.1038/nmat2162', 'pmid': '18497851', 'pmcid': ''}, {'doi': '10.1007/0-387-37825-1', 'pmid': '', 'pmcid': ''}, {'doi': '10.1103/PhysRevLett.97.206806', 'pmid': '17155706', 'pmcid': ''}, {'doi': '10.1103/PhysRevLett.101.087403', 'pmid': '18764660', 'pmcid': ''}, {'doi': '10.1021/acs.chemrev.8b00243', 'pmid': '29863344', 'pmcid': 'PMC6026846'}, {'doi': '10.1063/1.125493', 'pmid': '', 'pmcid': ''}, {'doi': '10.1070/QE1997v027n07ABEH001013', 'pmid': '', 'pmcid': ''}, {'doi': '10.1364/OE.17.021191', 'pmid': '19997358', 'pmcid': ''}, {'doi': '10.1038/nmat3537', 'pmid': '23314104', 'pmcid': ''}, {'doi': '10.1002/adma.201303426', 'pmid': '24136734', 'pmcid': ''}, {'doi': '10.1038/s41598-019-56105-7', 'pmid': '31889053', 'pmcid': 'PMC6937298'}, {'doi': '10.1364/OL.35.000956', 'pmid': '20364182', 'pmcid': ''}, {'doi': '10.1016/j.bios.2017.12.001', 'pmid': '29331424', 'pmcid': ''}, {'doi': '10.1002/adfm.201902692', 'pmid': '', 'pmcid': ''}, {'doi': '10.1038/lsa.2017.152', 'pmid': '30839537', 'pmcid': 'PMC6060062'}, {'doi': '10.1063/1.1325200', 'pmid': '', 'pmcid': ''}, {'doi': '10.1109/8.8632', 'pmid': '', 'pmcid': ''}, {'doi': '10.1021/acsphotonics.9b00564', 'pmid': '31355301', 'pmcid': 'PMC6646958'}, {'doi': '10.1021/acsphotonics.7b01176', 'pmid': '', 'pmcid': ''}, {'doi': '10.1038/s41467-022-29399-x', 'pmid': '35383172', 'pmcid': 'PMC8983677'}, {'doi': '10.1021/acsphotonics.9b01019', 'pmid': '', 'pmcid': ''}, {'doi': '10.1017/CBO9781107300064.005', 'pmid': '', 'pmcid': ''}, {'doi': '10.1007/BF01456847', 'pmid': '', 'pmcid': ''}, {'doi': '10.1090/S0002-9947-1922-1501206-6', 'pmid': '', 'pmcid': ''}, {'doi': '', 'pmid': '', 'pmcid': ''}, {'doi': '10.1103/PhysRevB.78.205405', 'pmid': '', 'pmcid': ''}, {'doi': '10.1021/nl9041033', 'pmid': '20560590', 'pmcid': ''}, {'doi': '10.1126/science.1126493', 'pmid': '16728596', 'pmcid': ''}, {'doi': '10.1126/science.1125907', 'pmid': '16728597', 'pmcid': ''}, {'doi': '10.1016/S0079-6638(08)00202-3', 'pmid': '', 'pmcid': ''}, {'doi': '10.1038/nmat2743', 'pmid': '20414221', 'pmcid': ''}, {'doi': '10.1021/nl100800c', 'pmid': '20465271', 'pmcid': ''}, {'doi': '10.1126/science.1220600', 'pmid': '22859483', 'pmcid': ''}, {'doi': '10.1038/nmat4609', 'pmid': '27019384', 'pmcid': 'PMC4959915'}, {'doi': '10.1002/adom.201900680', 'pmid': '', 'pmcid': ''}, {'doi': '', 'pmid': '', 'pmcid': ''}, {'doi': '10.1016/j.saa.2019.117931', 'pmid': '31865103', 'pmcid': ''}, {'doi': '10.1039/c2an35908a', 'pmid': '22898753', 'pmcid': ''}, {'doi': '10.1039/C7AN01680H', 'pmid': '29184920', 'pmcid': ''}, {'doi': '10.1093/jaoac/83.5.1141', 'pmid': '11048855', 'pmcid': ''}, {'doi': '10.1039/C5CC01489A', 'pmid': '25977946', 'pmcid': ''}, {'doi': '10.1016/j.procbio.2020.01.025', 'pmid': '', 'pmcid': ''}, {'doi': '10.1038/nmat2546', 'pmid': '19820701', 'pmcid': ''}, {'doi': '10.1038/srep25380', 'pmid': '27151104', 'pmcid': 'PMC4858735'}, {'doi': '', 'pmid': '', 'pmcid': ''}]",topological darkness: how to design a metamaterial for optical biosensing with ultrahigh sensitivity.,"['dark metamaterials', 'optical biosensing', 'scissor effect', 'topological darkness', 'topological photonics', 'ultrasensitive label-free detection']",Journal Article
"graphene-gold metasurface architectures that can provide significant gains in plasmonic detection sensitivity for trace-amount target analytes are reported. benefiting from extreme phase singularities of reflected light induced by strong plasmon-mediated energy confinements, the metasurface demonstrates a much-improved sensitivity to molecular bindings nearby and achieves an ultralow detection limit of 1 × 10(-18) m for 7.3 kda 24-mer single-stranded dna.","[{'lastname': 'Zeng', 'firstname': 'Shuwen', 'initials': 'S', 'affiliation': 'CINTRA CNRS/NTU/THALES, UMI 3288, Research Techno Plaza, 50 Nanyang Drive, Border X Block, Singapore, 637553, Singapore.\nSchool of Electrical and Electronic Engineering, Nanyang Technological University, Singapore, 639798, Singapore.'}, {'lastname': 'Sreekanth', 'firstname': 'Kandammathe Valiyaveedu', 'initials': 'KV', 'affiliation': 'Division of Physics and Applied Physics, School of Physical and Mathematical Sciences, Nanyang Technological University, 21 Nanyang Link, Singapore, 637371, Singapore.'}, {'lastname': 'Shang', 'firstname': 'Jingzhi', 'initials': 'J', 'affiliation': 'Division of Physics and Applied Physics, School of Physical and Mathematical Sciences, Nanyang Technological University, 21 Nanyang Link, Singapore, 637371, Singapore.'}, {'lastname': 'Yu', 'firstname': 'Ting', 'initials': 'T', 'affiliation': 'Division of Physics and Applied Physics, School of Physical and Mathematical Sciences, Nanyang Technological University, 21 Nanyang Link, Singapore, 637371, Singapore.'}, {'lastname': 'Chen', 'firstname': 'Chih-Kuang', 'initials': 'CK', 'affiliation': 'The Polymeric Biomaterials Lab, Feng Chia University, Taichung, 40724, Taiwan.'}, {'lastname': 'Yin', 'firstname': 'Feng', 'initials': 'F', 'affiliation': 'School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore, 639798, Singapore.'}, {'lastname': 'Baillargeat', 'firstname': 'Dominique', 'initials': 'D', 'affiliation': 'CINTRA CNRS/NTU/THALES, UMI 3288, Research Techno Plaza, 50 Nanyang Drive, Border X Block, Singapore, 637553, Singapore.\nXLIM UMR CNRS 7252, Université de Limoges/CNRS, Limoges, 87060, France.'}, {'lastname': 'Coquet', 'firstname': 'Philippe', 'initials': 'P', 'affiliation': ""CINTRA CNRS/NTU/THALES, UMI 3288, Research Techno Plaza, 50 Nanyang Drive, Border X Block, Singapore, 637553, Singapore.\nInstitut d'Electronique, de Microélectronique et de Nanotechnologie (IEMN), CNRS UMR 8520 - Université de Lille 1, 59650, Villeneuve d'Ascq, France.""}, {'lastname': 'Ho', 'firstname': 'Ho-Pui', 'initials': 'HP', 'affiliation': 'Department of Electronic Engineering, The Chinese University of Hong Kong, Hong Kong, 999077.'}, {'lastname': 'Kabashin', 'firstname': 'Andrei V', 'initials': 'AV', 'affiliation': 'Aix Marseille University, CNRS, LP3 UMR 7341, Campus de Luminy, 163 Avenue de Luminy, Case 917, 13288, Marseille cedex 9, France.'}, {'lastname': 'Yong', 'firstname': 'Ken-Tye', 'initials': 'KT', 'affiliation': 'CINTRA CNRS/NTU/THALES, UMI 3288, Research Techno Plaza, 50 Nanyang Drive, Border X Block, Singapore, 637553, Singapore.\nSchool of Electrical and Electronic Engineering, Nanyang Technological University, Singapore, 639798, Singapore.'}]",1521-4095,"Advanced materials (Deerfield Beach, Fla.)",27,40,6163,6169,10.1002/adma.201501754,26349431,,2015-09-09,[],graphene-gold metasurface architectures for ultrasensitive plasmonic biosensing.,"['biosensors', 'metasurfaces', 'plasmonic sensing', 'surface plasmon polaritons']",Journal Article
"emerged as an upgrade of currently available surface plasmon resonance (spr) biosensing in terms of sensitivity, phase-sensitive spr technology still requires the minimization of instrumental noises to profit from its projected ultra-low detection limit (10(-8) refractive index units and lower). we present a polarimetry-based methodology for the efficient reduction of main instrumental noises in phase-sensitive measurements. the proposed approach employs a sinusoidal phase modulation of pumping light and is based on selection of proper modulation amplitude and initial phase relation for the first two modulation harmonics (f1 and f2), which enables to subtract amplitude drifts in the difference (f1 - f2) signal while doubling the phase response. the resulting effect can be called self-noise-filtering, since it implies an inherent noise subtraction in every phase sensing measurement. this methodology allows one to tackle drifts related to instabilities of light sources and optical elements and thus drastically lower the detection limit of phase-sensitive spr sensing even in relatively simple and noisy experimental implementations.","[{'lastname': 'Patskovsky', 'firstname': 'Sergiy', 'initials': 'S', 'affiliation': 'Department of Engineering Physics, Ecole Polytechnique de Montréal, Case Postale 6079, succ. Centre-Ville, Montréal, Québec, H3C 3A7 Canada.'}, {'lastname': 'Meunier', 'firstname': 'Michel', 'initials': 'M', 'affiliation': None}, {'lastname': 'Prasad', 'firstname': 'Paras N', 'initials': 'PN', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V', 'initials': 'AV', 'affiliation': None}]",1094-4087,Optics express,18,14,14353,14358,10.1364/OE.18.014353,20639919,,2010-07-05,[],self-noise-filtering phase-sensitive surface plasmon resonance biosensing.,[],Journal Article
"we consider amplitude and phase characteristics of light reflected under the surface plasmon resonance (spr) conditions and study their sensitivities to refractive index changes associated with biological and chemical sensing. our analysis shows that phase can provide at least two orders of magnitude better detection limit due to the following reasons: (i) maximal phase changes occur in the very dip of the spr curve where the vector of probing electric field is maximal, whereas maximal amplitude changes are observed on the resonance slopes: this provides a one order of magnitude larger sensitivity of phase to refractive index variations; (ii) under a proper design of a detection scheme, phase noises can be orders of magnitude lower compared to amplitude ones, which results in a much better signal-to-noise ratio; (iii) phase offers much better possibilities for signal averaging and filtering, as well as for image treatment. applying a phase-sensitive spr polarimetry scheme and using gas calibration model, we experimentally demonstrate the detection limit of 10(-8) riu, which is about two orders of magnitude better compared to amplitude-sensitive schemes. finally, we show how phase can be employed for filtering and treatment of images in order to improve signal-to-noise ratio even in relatively noisy detection schemes. combining a much better physical sensitivity and a possibility of imaging and sensing in micro-arrays, phase-sensitive methodologies promise a substantial upgrade of currently available spr technology.","[{'lastname': 'Kabashin', 'firstname': 'Andrei V', 'initials': 'AV', 'affiliation': 'Laboratoire Lasers, Plasmas et Procédés Photoniques (LP3 UMR 6182 CNRS), Faculté des Sciences de Luminy, Université de Méditerranée, Case 917, 13288 Marseille, France.'}, {'lastname': 'Patskovsky', 'firstname': 'Sergiy', 'initials': 'S', 'affiliation': None}, {'lastname': 'Grigorenko', 'firstname': 'Alexander N', 'initials': 'AN', 'affiliation': None}]",1094-4087,Optics express,17,23,21191,21204,10.1364/OE.17.021191,19997358,,2009-11-09,[],phase and amplitude sensitivities in surface plasmon resonance bio and chemical sensing.,[],Journal Article
"si-based total internal reflection (tir) bio/chemical sensor presents an attractive alternative to surface plasmon resonance (spr) technology due to a relatively simple optical arrangement and technological implementation, as well as a relatively easy bio/chemical immobilization on si/sio(2) surface with a number of novel attractive applications. this sensor is based on the control of phase difference between p- and s-polarized components of light reflected from si/air or si/water interface in tir geometry and a high sensitivity of the sensor is granted by a high refractive index of si (3.56 at 1200 nm). we study properties of tir sensors in a configuration of spectral phase detection and identify conditions of maximal phase sensitive response. we also experimentally show that the detection limit of si-based tir sensor can be lowered down to a level of detection of commercially available spr devices (10(-6) refractive index units, riu) under the use of a proper low-noisy method of the phase control. the concept of si-based tir opens attractive prospects for the miniaturization of sensor devices, taking advantage of the advanced state of development of si-based microfabrication technologies, while the proposed spectral phase detection scheme offers much easier packaging and calibration steps.","[{'lastname': 'Patskovsky', 'firstname': 'Sergiy', 'initials': 'S', 'affiliation': 'Engineering Physics Department, Ecole Polytechnique de Montréal, C. P. 6079, succ. Centre-Ville, Montréal, Québec, Canada.'}, {'lastname': 'Song', 'firstname': 'In-Hyouk', 'initials': 'IH', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'Michel', 'initials': 'M', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V', 'initials': 'AV', 'affiliation': None}]",1094-4087,Optics express,17,23,20847,20852,10.1364/OE.17.020847,19997319,,2009-11-09,[],silicon based total internal reflection bio and chemical sensing with spectral phase detection.,[],Journal Article
"a novel polarimetry methodology for phase-sensitive measurements in single reflection geometry is proposed for applications in optical transduction-based biological sensing. the methodology uses altering step-like chopper-based mechanical phase modulation for orthogonal s- and p- polarizations of light reflected from the sensing interface and the extraction of phase information at different harmonics of the modulation. we show that even under a relatively simple experimental arrangement, the methodology provides the resolution of phase measurements as low as 0.007 deg. we also examine the proposed approach using total internal reflection (tir) and surface plasmon resonance (spr) geometries. for tir geometry, the response appears to be strongly dependent on the prism material with the best values for high refractive index si. the detection limit for si-based tir is estimated as 10(-5) in terms refractive index units (riu) change. spr geometry offers much stronger phase response due to a much sharper phase characteristics. with the detection limit of 3.2*10(-7) riu, the proposed methodology provides one of best sensitivities for phase-sensitive spr devices. advantages of the proposed method include high sensitivity, simplicity of experimental setup and noise immunity as a result of a high stability modulation.","[{'lastname': 'Patskovsky', 'firstname': 'S', 'initials': 'S', 'affiliation': 'Engineering Physics Department, Ecole Polytechnique de Montréal, C. P. 6079, succ. Centre-Ville, Montréal, Québec, Canada, H3C 3A7.'}, {'lastname': 'Maisonneuve', 'firstname': 'M', 'initials': 'M', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M', 'initials': 'M', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'A V', 'initials': 'AV', 'affiliation': None}]",1094-4087,Optics express,16,26,21305,21314,10.1364/oe.16.021305,19104560,,2008-12-22,[],mechanical modulation method for ultrasensitive phase measurements in photonics biosensing.,[],Journal Article
"a concept of phase-sensitive si-based total internal reflection bio- and chemical sensor is presented. the sensor uses the reflection of light from an internal edge of a si prism, which is in contact with analyte material changing its index of refraction (thickness). changes of the refractive index are monitored by measuring the differential phase shift between p- and s-polarized components of light reflected from the system. we show that due to a high refractive index of si, such methodology leads to a high sensitivity and dynamic range of measurements. furthermore, the si-based platform offers an easy bioimmobilization step and excellent opportunities for the development of multi-channel microsensors taking advantage of the advanced state of development of si-based microfabrication technologies.","[{'lastname': 'Patskovsky', 'firstname': 'S', 'initials': 'S', 'affiliation': None}, {'lastname': 'Meunier', 'firstname': 'M', 'initials': 'M', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'A V', 'initials': 'AV', 'affiliation': None}]",1094-4087,Optics express,15,19,12523,12528,10.1364/oe.15.012523,19547622,,2007-09-17,[],phase-sensitive silicon-based total internal reflection sensor.,[],Journal Article
"in this study, a novel phase-sensitive surface plasmon resonance (spr) setup, based on temporal modulation of a pumping beam by a photoelastic modulator, and subsequent extraction of phase information at the second and the third harmonics of the modulation frequency, has been developed to study biomolecular interactions on spr-supporting gold. we demonstrated that the design setup provides ultra-high phase sensitivity, together with a wide dynamic range of measurements. in particular, the proposed scheme was used to study real-time interaction of biotin-protein and streptavidin-bsa complexes. we have found that the proposed technique has a detection limit as high as 2.89 x 10(-7) in terms of refractive index units (riu). in terms of biosensing performance, a detection sensitivity of 1.3 nm from the streptavidin-maleimide/thiolated bsa complex binding reaction has also been demonstrated.","[{'lastname': 'Law', 'firstname': 'Wing-Cheung', 'initials': 'WC', 'affiliation': 'Institute for Lasers, Photonics and Biophotonics, Departments of Electrical Engineering, State University of New York at Buffalo, Buffalo, NY 14260, USA.'}, {'lastname': 'Markowicz', 'firstname': 'Przemyslaw', 'initials': 'P', 'affiliation': None}, {'lastname': 'Yong', 'firstname': 'Ken-Tye', 'initials': 'KT', 'affiliation': None}, {'lastname': 'Roy', 'firstname': 'Indrajit', 'initials': 'I', 'affiliation': None}, {'lastname': 'Baev', 'firstname': 'Alexander', 'initials': 'A', 'affiliation': None}, {'lastname': 'Patskovsky', 'firstname': 'Sergiy', 'initials': 'S', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei V', 'initials': 'AV', 'affiliation': None}, {'lastname': 'Ho', 'firstname': 'Ho-Pui', 'initials': 'HP', 'affiliation': None}, {'lastname': 'Prasad', 'firstname': 'Paras N', 'initials': 'PN', 'affiliation': None}]",0956-5663,Biosensors & bioelectronics,23,5,627,632,10.1016/j.bios.2007.07.015,17804214,,2007-08-03,[],wide dynamic range phase-sensitive surface plasmon resonance biosensor based on measuring the modulation harmonics.,[],Journal Article
"the concept of photonic bandgap fiber-based surface plasmon resonance sensor operating with low refractive index analytes is developed. plasmon wave on the surface of a thin metal film embedded into a fiber microstructure is excited by a leaky gaussian-like core mode of a fiber. we demonstrate that by judicious design of the photonic crystal reflector, the effective refractive index of the core mode can be made considerably smaller than that of the core material, thus enabling efficient phase matching with a plasmon, high sensitivity, and high coupling efficiency from an external gaussian source, at any wavelength of choice from the visible to near-ir. to our knowledge, this is not achievable by any other traditional sensor design. moreover, unlike the case of total internal reflection waveguide-based sensors, there is no limitation on the upper value of the waveguide core refractive index, therefore, any optical materials can be used in fabrication of photonic bandgap fiber-based sensors. based on numerical simulations, we finally present designs using various types of photonic bandgap fibers, including solid and hollow core bragg fibers, as well as honeycomb photonic crystal fibers. amplitude and spectrum based methodologies for the detection of changes in the analyte refractive index are discussed. furthermore, sensitivity enhancement of a degenerate double plasmon peak excitation is demonstrated for the case of a honeycomb fiber. sensor resolutions in the range 7 * 10(-6) -5 * 10(-5) riu were demonstrated for an aqueous analyte.","[{'lastname': 'Gauvreau', 'firstname': 'Bertrand', 'initials': 'B', 'affiliation': None}, {'lastname': 'Hassani', 'firstname': 'Alireza', 'initials': 'A', 'affiliation': None}, {'lastname': 'Fassi Fehri', 'firstname': 'Majid', 'initials': 'M', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei', 'initials': 'A', 'affiliation': None}, {'lastname': 'Skorobogatiy', 'firstname': 'Maksim A', 'initials': 'MA', 'affiliation': None}]",1094-4087,Optics express,15,18,11413,11426,10.1364/oe.15.011413,19547499,,2007-09-03,[],photonic bandgap fiber-based surface plasmon resonance sensors.,[],Journal Article
"a boundary integral method [1] for calculating leaky and guided modes of microstructured optical fibers is presented. the method is rapidly converging and can handle a large number of inclusions (hundreds) of arbitrary geometries. both, solid and hollow core photonic crystal fibers can be treated efficiently. we demonstrate that for large systems featuring closely spaced inclusions the computational intensity of the boundary integral method is significantly smaller than that of the multipole method. this is of particular importance in the case of hollow core band gap guiding fibers. we demonstrate versatility of the method by applying it to several challenging problems.","[{'lastname': 'Pone', 'firstname': 'Elio', 'initials': 'E', 'affiliation': None}, {'lastname': 'Hassani', 'firstname': 'Alireza', 'initials': 'A', 'affiliation': None}, {'lastname': 'Lacroix', 'firstname': 'Suzanne', 'initials': 'S', 'affiliation': None}, {'lastname': 'Kabashin', 'firstname': 'Andrei', 'initials': 'A', 'affiliation': None}, {'lastname': 'Skorobogatiy', 'firstname': 'Maksim', 'initials': 'M', 'affiliation': None}]",1094-4087,Optics express,15,16,10231,10246,10.1364/oe.15.010231,19547372,,2007-08-06,[],"boundary integral method for the challenging problems in bandgap guiding, plasmonics and sensing.",[],Journal Article
